begin,end,origin
2013-5-15 14:52,2013-5-17 5:45,FP
2013-5-17 15:34,2013-5-18 0:18,FP
2013-5-20 3:35,2013-5-20 9:22,FP
2013-5-26 0:13,2013-5-26 23:16,FP
2013-7-10 3:14,2013-7-12 2:03,FP
2013-9-3 4:21,2013-9-3 20:04,FP
2013-10-9 22:38,2013-10-11 3:06,FP
2013-10-12 22:00,2013-10-14 7:02,FP
2014-2-8 8:21,2014-2-9 15:35,FP
2014-2-20 10:46,2014-2-22 7:06,FP
2014-5-4 23:00,2014-5-5 20:06,FP
2014-7-14 19:46,2014-7-15 0:11,FP
2014-9-6 18:24,2014-9-8 7:06,FP
2014-9-12 9:00,2014-9-12 15:00,FP
2014-12-22 1:06,2014-12-23 10:23,FP
2015-2-16 13:16,2015-2-17 4:14,FP
2015-3-17 13:58,2015-3-18 9:48,FP
2015-7-13 13:34,2015-7-14 21:55,FP
2015-11-15 16:45,2015-11-17 20:00,FP
2015-12-31 18:32,2015-12-31 23:59,FP
2013-5-1 12:05,2013-5-1 16:57,FP
2001-3-12 20:49,2001-3-13 17:43,FP
2006-11-20 6:00,2006-11-23 1:28,FP
2013-11-27 0:00,2013-11-29 0:00,Lepping
